"N","conf_level","expected_type1","std_type1_beta0","boot_type1_beta0","std_type1_beta1","boot_type1_beta1","std_type1_beta2","boot_type1_beta2","std_type1_transform","boot_type1_transform"
50,0.8,0.2,0.15,0.175,0.17,0.18,0.18,0.15,0.025,0.175
50,0.9,0.1,0.09,0.095,0.07,0.105,0.135,0.1,0,0.12
50,0.95,0.05,0.065,0.075,0.055,0.05,0.07,0.065,0,0.08
100,0.8,0.2,0.175,0.17,0.205,0.195,0.185,0.14,0.005,0.17
100,0.9,0.1,0.095,0.085,0.065,0.095,0.09,0.07,0.005,0.105
100,0.95,0.05,0.03,0.045,0.07,0.07,0.06,0.04,0,0.07
200,0.8,0.2,0.155,0.14,0.17,0.16,0.19,0.185,0.02,0.205
200,0.9,0.1,0.105,0.1,0.08,0.105,0.105,0.075,0,0.095
200,0.95,0.05,0.04,0.035,0.045,0.045,0.025,0.025,0,0.055
400,0.8,0.2,0.175,0.185,0.175,0.17,0.175,0.16,0.005,0.155
400,0.9,0.1,0.065,0.07,0.095,0.11,0.085,0.06,0,0.08
400,0.95,0.05,0.065,0.055,0.025,0.045,0.065,0.06,0,0.065
800,0.8,0.2,0.225,0.2,0.17,0.165,0.185,0.165,0,0.16
800,0.9,0.1,0.11,0.09,0.09,0.095,0.12,0.06,0,0.1
800,0.95,0.05,0.045,0.045,0.08,0.075,0.08,0.065,0,0.065
1600,0.8,0.2,0.21,0.225,0.19,0.175,0.205,0.155,0.01,0.215
1600,0.9,0.1,0.06,0.055,0.125,0.15,0.105,0.085,0.005,0.12
1600,0.95,0.05,0.065,0.04,0.02,0.04,0.045,0.04,0,0.04
